slnoskm,Status,Address,Street_only, lat,long,Beds,bathsfull,bathshalf,bathstotal,sqft,garages,roof_Built-Up,roof_Concrete,roof_Shake,roof_Shingle,roof_Slate,roof_Tile,roof_Other,lotsqft,yrblt,pool_Community,pool_Private,pool_None,spa,subdivn,adom_agentdaysonmarket,cdom_cumuldaysmls,listprice,lppersqft,PendingDate,pd_dom,pd_moy,pd_year,sppersqft,datesold,ds_dom,ds_moy,ds_year,splsale,splsal_Auction,splsal_shortsale,splsale_BankOwnedREO,pricesold,days_on_market
1,Sold,17711 ESPRIT DR,ESPRIT DR,28.12792126,-82.34018427,3,2,0,2,1695,2,0,0,0,1,0,0,0,8694,1992,1,0,0,,HUNTERS GREEN PH 1B 02,2,2,150000,88.5,7/12/2017,12,7,2017,83.48,10/6/2018,6,10,2018,Short Sale,0,1,0,141500,451
2,Sold,17769  ESPRIT DR ,ESPRIT DR,28.13001479,-82.33986314,2,2,0,2,1305,2,0,0,0,1,0,0,0,6540,1992,0,0,1,,HUNTERS GREEN PH 1A,133,133,179000,137.16,7/2/2015,2,7,2015,122.61,7/30/2015,30,7,2015,None,0,0,0,160000,28
3,Sold,17622  ESPRIT DR ,ESPRIT DR,28.12995346,-82.34105497,3,2,0,2,1420,2,0,0,0,1,0,0,0,4845,1991,1,0,0,,HUNTERS GREEN PRCL 17B PH 1A,4,4,165000,116.2,6/17/2015,17,6,2015,113.73,7/29/2015,29,7,2015,None,0,0,0,161500,42
4,Sold,18111 ASHTON PARK WAY,ASHTON PARK WAY,28.13806668,-82.33351287,3,2,0,2,1598,2,0,0,0,1,0,0,0,5750,1996,1,0,0,,HUNTERS GREEN,44,44,184000,115.14,6/24/2016,24,6,2016,106.38,7/29/2016,29,7,2016,None,0,0,0,170000,35
5,Sold,9203  CELEBRATION CT ,CELEBRATION CT,28.12913091,-82.34065873,4,2,1,3,2302,2,0,0,0,1,0,0,0,5390,1992,0,1,0,,HUNTERS GREEN PH 1B 02,14,14,180000,78.19,8/10/2015,10,8,2015,73.85,9/30/2016,30,9,2016,Short Sale,0,1,0,170000,417
6,Sold,8908  COPPER RIDGE LN ,COPPER RIDGE LN,28.12746372,-82.35354579,4,2,1,3,2270,2,0,0,0,0,1,1,0,10454,1994,0,1,0,TRUE,HUNTERS GREEN PARCEL 6,207,207,190000,83.7,9/4/2015,4,9,2015,74.89,12/7/2015,7,12,2015,Short Sale,0,1,0,170000,94
7,Sold,17709  ESPRIT DR ,ESPRIT DR,28.12787127,-82.34022592,2,2,0,2,1421,2,0,0,0,1,0,0,0,7808,1992,0,0,1,,HUNTERS GREEN PH 1B 02,69,69,179900,126.6,12/1/2015,1,12,2015,121.39,2/1/2016,1,2,2016,None,0,0,0,172500,62
8,Sold,17762 OAK BRIDGE ST,OAK BRIDGE ST,28.13091897,-82.3361971,3,2,0,2,1419,2,0,0,0,1,0,0,0,5720,1995,1,0,0,,HUNTERS GREEN PH 2A,128,128,189000,133.19,1/11/2017,11,1,2017,123.33,3/31/2017,31,3,2017,None,0,0,0,175000,79
9,Sold,18112  ASHTON PARK WAY ,ASHTON PARK WAY,28.13817836,-82.33355734,3,2,0,2,1856,2,0,0,0,1,0,0,0,5950,1997,1,0,0,,HUNTERS GREEN,57,57,185500,99.95,8/4/2015,4,8,2015,95.91,10/14/2015,14,10,2015,Bank Owned/REO,0,0,1,178000,71
10,Sold,17727 OAK BRIDGE ST,OAK BRIDGE ST,28.12983573,-82.33596926,3,2,0,2,1670,2,0,0,0,0,0,1,0,5662,1996,1,0,0,,HUNTERS GREEN PH 2B,0,0,179000,107.19,7/28/2016,28,7,2016,107.19,7/28/2016,28,7,2016,None,0,0,0,179000,0
11,Sold,9203  FESTIVAL CT ,FESTIVAL CT,28.12999792,-82.34100218,3,2,0,2,1420,2,0,0,0,1,0,0,0,7085,1992,0,0,1,,HUNTERS GREEN PRCL 17B PH 1A,3,3,174900,123.17,3/14/2015,14,3,2015,126.06,4/27/2015,27,4,2015,None,0,0,0,179000,44
12,Sold,9420 OAK MEADOW CT,OAK MEADOW CT,28.12856145,-82.33243495,3,2,0,2,1579,2,0,0,0,1,0,0,0,4500,1992,0,0,1,,HUNTERS GREEN PRCL 22A PH 1,4,4,184900,117.1,6/13/2017,13,6,2017,114,7/11/2017,11,7,2017,None,0,0,0,180000,28
13,Sold,18110 HAMDEN PARK WAY,HAMDEN PARK WAY,28.13766643,-82.33283952,4,2,0,2,1665,2,0,0,0,1,0,0,0,5750,1996,1,0,0,,HUNTERS GREEN PARCEL 20,56,56,199900,120.06,10/26/2016,26,10,2016,108.11,11/29/2016,29,11,2016,None,0,0,0,180000,34
14,Sold,17714 LONG RIDGE RD,LONG RIDGE RD,28.12856396,-82.33375589,4,2,1,3,2303,2,0,0,0,1,0,0,0,5250,1994,1,0,0,,HUNTERS GREEN PH 2,96,96,198000,85.97,3/5/2018,5,3,2018,79.03,6/26/2018,26,6,2018,Short Sale,0,1,0,182000,113
15,Sold,17634 NATHANS DR,NATHANS DR,28.13043716,-82.34207886,3,2,0,2,1810,2,0,0,0,1,0,0,0,5900,1996,0,0,1,,HUNTERS GREEN PRCL 17A PH 2,15,15,178900,98.84,1/27/2017,27,1,2017,100.55,2/27/2017,27,2,2017,Bank Owned/REO,0,0,1,182000,31
16,Sold,17743  ESPRIT DR ,ESPRIT DR,28.1288136,-82.34033853,2,2,0,2,1407,2,0,0,0,1,0,0,0,7770,1992,0,0,1,,HUNTERS GREEN PH 1B 02,56,56,182500,129.71,6/22/2015,22,6,2015,129.71,8/3/2015,3,8,2015,None,0,0,0,182500,42
17,Sold,17610  ESPRIT DR ,ESPRIT DR,28.13067689,-82.34099689,3,2,0,2,1542,2,0,0,0,1,0,0,0,8464,1995,0,0,1,,HUNTERS GREEN PH 1A,8,8,189000,122.57,9/8/2015,8,9,2015,119.33,10/9/2015,9,10,2015,None,0,0,0,184000,31
18,Sold,9335  HUNTINGTON PARK WAY ,HUNTINGTON PARK WAY,28.13785171,-82.33156689,4,2,0,2,1665,2,0,0,0,1,0,0,0,6150,1996,0,0,1,,HUNTERS GREEN,56,56,190000,114.11,1/27/2016,27,1,2016,111.11,3/18/2016,18,3,2016,None,0,0,0,185000,51
19,Sold,17758 OAK BRIDGE ST,OAK BRIDGE ST,28.13081722,-82.3361971,4,2,0,2,1608,2,0,0,0,1,0,0,0,5720,1995,0,1,0,,HUNTERS GREEN,2,2,210000,130.6,7/5/2017,5,7,2017,116.92,8/2/2017,2,8,2017,None,0,0,0,188000,28
20,Sold,9401 OAK MEADOW CT,OAK MEADOW CT,28.12844749,-82.33362816,4,2,1,3,2299,2,0,0,0,1,0,0,0,6300,1994,1,0,0,,HUNTERS GREEN,24,157,219000,95.26,6/22/2016,22,6,2016,82.64,8/12/2016,12,8,2016,None,0,0,0,190000,51
21,Sold,17761  OAK BRIDGE ST ,OAK BRIDGE ST,28.13096476,-82.33606716,3,2,0,2,1507,2,0,0,0,1,0,0,0,5500,1996,0,1,0,,HUNTERS GREEN PH 2A,0,0,190000,126.08,11/1/2015,1,11,2015,126.08,12/8/2015,8,12,2015,None,0,0,0,190000,37
